collocate,collocate_count,corpus_count,MI
all,2,395,2.228591412616169
this,1,310,1.578175850406397
neither,1,17,5.766837414430295
nor,1,12,6.269337754959478
resentment,1,3,8.269337754959478
he,4,1983,0.9008312934517867
had,2,1129,0.7134704849076335
no,1,346,1.41967202804391
wanted,1,24,5.269337754959478
spell,1,2,8.854300255680634
of,6,2794,0.9911464509923277
crazy,1,8,6.854300255680635
for,3,647,2.101640854409283
a,5,2397,0.9492141569188638
yellow,1,8,6.854300255680635
his,1,1448,-0.6455456314025708
faculties,1,3,8.269337754959478
and,4,2121,0.8037713501500794
hatred,1,2,8.854300255680634
seen,1,78,3.568898036818386
them,1,138,2.7457757989024656
suffer,1,7,7.046945333623031
endure,1,1,9.854300255680634
riot,1,2,8.854300255680634
i,2,917,1.0135223320855802
fell,2,28,6.0469453336230305
in,5,1456,1.6684337103693005
with,4,880,2.072940542155975
priest,1,19,5.606372742237049
having,1,38,4.606372742237049
fallen,2,10,7.532372160793272
him,1,555,0.7379562944431662
some,1,157,2.5596795067890072
forbidden,1,2,8.854300255680634
terrors,1,3,8.269337754959478
have,1,516,0.8430730002573803
man,2,234,2.98393553609723
the,2,5429,-1.5521705128486498
always,1,37,4.644846890051684
true,1,12,6.269337754959478
to,2,2338,-0.33675895885102186
eager,1,1,9.854300255680634
she,2,600,1.6254815651847536
was,1,1299,-0.4888854597672467
certain,1,28,5.0469453336230305
civic,1,2,8.854300255680634
virtues,1,2,8.854300255680634
tyranny,1,4,7.854300255680633
were,1,228,2.021410241515893
be,1,356,1.3785668247142366
jealousy,1,3,8.269337754959478
without,1,126,2.877020332180718
you,2,890,1.0566387298268745
think,1,75,3.625481565184754
so,1,167,2.4705959632065824
or,1,186,2.3151414445726033
humanity,1,4,7.854300255680633
who,1,177,2.386694705597637
picture,1,5,7.532372160793272
used,1,35,4.725017238735668
me,1,249,1.8942983236125535
peyrol,1,833,0.15212757031508684
