name,betweenness_centrality,degree_centrality,eigenvector_centrality
LordBardolph,0.23671497584541062,0.10869565217391304,0.013178425968197224
Porter,0.0,0.021739130434782608,0.0014784524605809108
Northumberland,0.12657004830917873,0.10869565217391304,0.0017373217703543526
Travers,0.0,0.021739130434782608,0.0001949123772813524
Morton,0.0,0.043478260869565216,0.001673364837862263
Falstaff,0.46593663448735917,0.5,0.4002842103496325
Page,0.0019024614676788588,0.17391304347826086,0.2405756640930399
Justice,0.06377903363410609,0.2608695652173913,0.28903688286071144
Servant,0.0,0.043478260869565216,0.07732964703705529
Archbishop,0.1251207729468599,0.10869565217391304,0.055653689634266736
Mowbray,0.0178743961352657,0.10869565217391304,0.05559772348218351
Hastings,0.1497584541062802,0.13043478260869565,0.05692704034586597
Fang,0.008989223337049424,0.06521739130434782,0.07629098182333784
Hostess,0.10262491668288765,0.2391304347826087,0.24386504359236416
Snare,0.0,0.043478260869565216,0.03591568580767161
Gower,0.0,0.043478260869565216,0.07732964703705529
Poins,0.0,0.10869565217391304,0.1620788289695481
PrinceHenry,0.11830245975173512,0.2826086956521739,0.3176809078944469
Bardolph,0.029208649643432248,0.2608695652173913,0.2667508056799658
LadyNorthld,0.0,0.043478260869565216,0.00021954474019954837
LadyPercy,0.0,0.043478260869565216,0.00021954474019954837
Drawer,0.000644122383252818,0.043478260869565216,0.028045034511117457
Francis,0.0014492753623188406,0.043478260869565216,0.03050336686957909
Doll,0.05964649950157197,0.19565217391304346,0.2194931635394334
Pistol,0.04796300854271869,0.19565217391304346,0.24532084887490746
Peto,0.0,0.021739130434782608,0.03563828577473473
KingHenry,0.061600031744959274,0.19565217391304346,0.21336423044634736
Warwick,0.002700037482646178,0.15217391304347827,0.1705745601275436
Shallow,0.008212560386473429,0.19565217391304346,0.164088869696009
Silence,0.00024154589371980676,0.08695652173913043,0.10258332989488851
Moldy,0.0,0.06521739130434782,0.09323687781023995
Shadow,0.0,0.043478260869565216,0.06331236016723572
Wart,0.0,0.021739130434782608,0.04490466796927886
Feeble,0.0,0.06521739130434782,0.09323687781023995
Bullcalf,0.0,0.06521739130434782,0.09323687781023995
Messenger,0.0,0.043478260869565216,0.012623630268538586
Westmorland,0.021256038647342993,0.15217391304347827,0.11025697373920403
Lancaster,0.37071785970336707,0.2826086956521739,0.26013149457632717
Coleville,0.0,0.043478260869565216,0.07408712380136025
Gloucester,0.0,0.13043478260869565,0.15945308145425674
Clarence,0.002700037482646178,0.15217391304347827,0.17057456012754363
Harcourt,0.0,0.021739130434782608,0.023935938956172104
Davy,0.00024154589371980676,0.08695652173913043,0.10474481844526513
Beadle,0.0,0.043478260869565216,0.05198035881056817
Groom1,0.0,0.021739130434782608,0.0005797022646326335
Groom2,0.043478260869565216,0.043478260869565216,0.005167546271925604
Groom3,0.08502415458937197,0.043478260869565216,0.0454843702339115
