name,degree_centrality,betweenness_centrality,eigenvector_centrality
Richard,0.5076923076923077,0.5298028013653017,0.42508509380201226
Richmond,0.1076923076923077,0.25472756410256414,0.07861889457404662
GhostEdward,0.06153846153846154,0.16482371794871795,0.008595728661709894
Stanley,0.18461538461538463,0.12658508158508155,0.23313667970415577
Buckingham,0.2923076923076923,0.10444617882117885,0.3207100746034498
Hastings,0.26153846153846155,0.09463120213120214,0.29802655841290454
QueenElizabeth,0.27692307692307694,0.09208988927738929,0.331023924411313
GhostHastings,0.07692307692307693,0.08541666666666667,0.000962923681483862
GhostBuckingham,0.03076923076923077,0.04431089743589744,0.04315715163281369
Brakenbury,0.12307692307692308,0.03926053113553113,0.133008479819273
Duchess,0.16923076923076924,0.039220467032967034,0.19705119828606127
Anne,0.1076923076923077,0.03020604395604395,0.1577255220613516
GhostAnne,0.046153846153846156,0.028044871794871796,0.005252902797856634
GhostHenryVI,0.03076923076923077,0.026923076923076925,0.0008723468436689819
5Messenger,0.046153846153846156,0.02063301282051282,0.0481158880248601
Grey,0.07692307692307693,0.016235119047619047,0.13330215174318963
Clarence,0.07692307692307693,0.015409798534798555,0.06721205034472183
Oxford,0.03076923076923077,0.014423076923076924,0.00804648145887432
Blunt,0.03076923076923077,0.014423076923076924,0.00804648145887432
Ratcliffe,0.07692307692307693,0.012707188644688646,0.1127917982588087
3Messenger,0.03076923076923077,0.008453525641025642,0.02410674614545697
1Murderer,0.06153846153846154,0.006227106227106222,0.0653817366903586
Dorset,0.13846153846153847,0.003748543123543123,0.2376345825493781
Rivers,0.13846153846153847,0.0026957417582417586,0.2277284617447929
GhostRivers,0.06153846153846154,0.002403846153846154,0.00013170157141888426
GhostsYork,0.03076923076923077,0.0019230769230769232,0.0006236107053716748
York,0.07692307692307693,0.0013293997668997672,0.1405430537701087
Priest,0.046153846153846156,0.0011939102564102564,0.06570792211604665
GhostClarence,0.03076923076923077,0.0009615384615384616,0.00010087646356796325
PrinceEdward,0.07692307692307693,0.0009375,0.12755805920993296
Catesby,0.07692307692307693,0.0008653846153846153,0.1491883333516818
QueenMargaret,0.1076923076923077,0.0008238636363636362,0.2043072618388005
4Messenger,0.03076923076923077,0.0007211538461538462,0.007243018305312829
KingEdward,0.1076923076923077,0.0004945054945054946,0.20792620097354703
Herbert,0.03076923076923077,0.0002403846153846154,0.0016140432962313362
Vaughan,0.03076923076923077,0.00016025641025641026,0.024679518269528227
2Gentleman,0.015384615384615385,0.0,0.015817724158540394
GhostVaughan,0.046153846153846156,0.0,0.0001224699201820567
Daughter,0.046153846153846156,0.0,0.05886112255800946
Keeper,0.03076923076923077,0.0,0.020079902343433056
1Gentleman,0.015384615384615385,0.0,0.042630273235291595
2Murderer,0.046153846153846156,0.0,0.026637034094099756
1Lord,0.03076923076923077,0.0,0.05051485227218203
2Lord,0.03076923076923077,0.0,0.05051485227218203
Norfolk,0.015384615384615385,0.0,0.042630273235291595
Surrey,0.015384615384615385,0.0,0.042630273235291595
Boy,0.046153846153846156,0.0,0.05886112255800946
GhostGrey,0.046153846153846156,0.0,0.0001224699201820567
1Citizen,0.03076923076923077,0.0,2.4484629103079295e-09
Mayor,0.046153846153846156,0.0,0.08758482023179354
Lovell,0.03076923076923077,0.0,0.07251780056990081
Cardinal,0.03076923076923077,0.0,0.062049904804473546
2Messenger,0.015384615384615385,0.0,0.02988752733460973
Pursuivant,0.03076923076923077,0.0,0.036476936434994195
1Messenger,0.046153846153846156,0.0,0.05886112255800946
Archbishop,0.046153846153846156,0.0,0.05886112255800946
Ely,0.06153846153846154,0.0,0.12806051551074465
Citizens,0.015384615384615385,0.0,0.03216237746986433
Sheriff,0.015384615384615385,0.0,0.03216237746986433
Page,0.015384615384615385,0.0,0.042630273235291595
Tyrrel,0.03076923076923077,0.0,0.07479265070515541
3Citizen,0.03076923076923077,0.0,2.4484629103079295e-09
2Citizen,0.03076923076923077,0.0,2.4484629103079295e-09
6Messenger,0.03076923076923077,0.0,0.04745569383858906
Christopher,0.015384615384615385,0.0,0.023380337470980547
7Messenger,0.015384615384615385,0.0,0.042630273235291595
